Device,Trip,starttime,Time,LaneDistanceRight,Flying_Overtake
10173,122,195440,6680,1.289063,0
10173,122,195440,6690,1.242188,0
10173,122,195440,6700,1.269531,0
10173,122,195440,6710,1.265625,0
10173,122,195440,6720,1.246094,0
10173,122,195440,6730,1.25,0
10173,122,195440,6740,1.242188,0
10173,122,195440,6750,1.285156,0
10173,122,195440,6760,1.253906,0
10173,122,195440,6770,1.242188,0
10173,122,195440,6780,1.257813,0
10173,122,195440,6790,1.304688,0
10173,122,195440,6800,1.3125,0
10173,122,195440,6810,1.304688,0
10173,122,195440,6820,1.296875,0
10173,122,195440,6830,1.296875,0
10173,122,195440,6840,1.296875,0
10173,122,195440,6850,1.320313,0
10173,122,195440,6860,1.335938,0
10173,122,195440,6870,1.34375,0
10173,122,195440,6880,1.359375,0
10173,122,195440,6890,1.378906,0
10173,122,195440,6900,1.386719,0
10173,122,195440,6910,1.382813,0
10173,122,195440,6920,1.398438,0
10173,122,195440,6930,1.410156,0
10173,147,146930,10,1.945313,1
10173,147,146930,20,1.914063,1
10173,147,146930,30,1.878906,1
10173,147,146930,40,1.851563,1
10173,147,146930,50,1.835938,1
10173,147,146930,60,1.816406,1
10173,147,146930,70,1.796875,1
10173,147,146930,80,1.792969,1
10173,147,146930,90,1.765625,1
10173,147,146930,100,1.730469,1
10173,147,146930,110,1.726563,1
10173,147,146930,120,1.71875,1
10173,147,146930,130,1.71875,1
10173,147,146930,140,1.710938,1
10173,147,146930,150,1.695313,1
10173,147,146930,160,1.664063,1
10173,147,146930,170,1.632813,1
10173,147,146930,180,1.609375,1
10173,147,146930,190,1.597656,1
10173,147,146930,200,1.585938,1
10173,147,146930,210,1.566406,1
10173,147,146930,220,1.554688,1
10173,147,146930,230,1.554688,1
10173,147,146930,240,1.558594,1
10173,147,146930,250,1.550781,1
10173,147,146930,260,1.523438,1
10173,147,146930,270,1.515625,1
10173,147,146930,280,1.519531,1
10173,147,146930,290,1.519531,1
10173,147,146930,300,1.515625,1
10173,147,146930,310,1.511719,1
10173,147,146930,320,1.515625,1
10173,147,146930,330,1.527344,1
10173,147,146930,340,1.53125,1
10173,147,146930,350,1.527344,1
10173,147,146930,360,1.523438,1
10173,147,146930,370,1.535156,1
10173,147,146930,380,1.550781,1
10173,147,146930,390,1.558594,1
10173,147,146930,400,1.585938,1
10173,147,146930,410,1.601563,1
10173,147,146930,420,1.59375,1
10173,147,146930,430,1.605469,1
10173,147,146930,440,1.617188,1
10173,147,146930,450,1.632813,1
10173,147,146930,460,1.636719,1
10173,147,146930,470,1.652344,1
10173,147,146930,480,1.664063,1
10173,147,146930,490,1.65625,1
10173,147,146930,500,1.667969,1
10173,147,146930,510,1.667969,1
10173,147,146930,520,1.675781,1
10173,147,146930,530,1.683594,1
10173,147,146930,540,1.675781,1
10173,147,146930,550,1.691406,1
10173,147,146930,560,1.683594,1
10173,147,146930,570,1.703125,1
10173,147,146930,580,1.71875,1
10173,147,146930,590,1.730469,1
10173,147,146930,600,1.730469,1
10173,147,146930,610,1.769531,1
10173,147,146930,620,1.777344,1
10173,147,146930,630,1.777344,1
10173,147,146930,640,1.765625,1
10173,147,146930,650,1.761719,1
10173,147,146930,660,1.769531,1
10173,147,146930,670,1.761719,1
10173,147,146930,680,1.757813,1
10173,147,146930,690,1.742188,1
10173,147,146930,700,1.75,1
